fecha_programacion,distrito_nombre,producto,familia,familia_codigo,cliente,volumen_programado
2026-09-11,Zona Comercial Camiri,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,ESTACION DE SERVICIO CAMIRIGAS SRL.,15000.0
2026-09-11,Zona Comercial Camiri,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,EE SS CORDILLERA LA WILLIAMS,15000.0
2026-09-10,Zona Comercial Camiri,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,LUISA ELENA KAUNE ARTEAGA VDA DE CATALANO,7500.0
2026-09-10,Zona Comercial Camiri,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,CORDIGAS,6900.0
2026-09-10,Zona Comercial Camiri,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,E° S° CORDILLERA,6000.0
2026-09-10,Zona Comercial Camiri,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACION DE SERVICIO PIRAI S.R.L. SUCURSAL 2,15000.0
2026-09-10,Zona Comercial Camiri,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACION DE SERVICIO CEDEÑO,6000.0
2026-09-10,Zona Comercial Camiri,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACION DE SERVICIO CAMIRIGAS SRL.,6000.0
2026-09-10,Zona Comercial Camiri,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,EE SS CORDILLERA LA WILLIAMS,6000.0
2026-09-10,Zona Comercial Camiri,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,E° S° CORDILLERA,15000.0
2026-09-10,Zona Comercial Camiri,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,ESTACION DE SERVICIO PIRAI S.R.L. SUCURSAL 2,7000.0
2026-09-10,Zona Comercial Camiri,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,ESTACION DE SERVICIO CEDEÑO,7000.0
2026-09-10,Zona Comercial Camiri,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,ESTACION DE SERVICIO CAMIRIGAS SRL.,7000.0
2026-09-10,Zona Comercial Camiri,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,EE SS CORDILLERA LA WILLIAMS,7000.0
2026-09-09,Zona Comercial Camiri,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,LUISA ELENA KAUNE ARTEAGA VDA DE CATALANO,10500.0
2026-09-09,Zona Comercial Camiri,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,CORDIGAS,6900.0
2026-09-09,Zona Comercial Camiri,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,E° S° CORDILLERA,6000.0
2026-09-09,Zona Comercial Camiri,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACION DE SERVICIO PIRAI S.R.L. SUCURSAL 2,15000.0
2026-09-09,Zona Comercial Camiri,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACION DE SERVICIO CEDEÑO,10000.0
2026-09-09,Zona Comercial Camiri,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACION DE SERVICIO CAMIRIGAS SRL.,6000.0
2026-09-09,Zona Comercial Camiri,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,EE SS CORDILLERA LA WILLIAMS,6000.0
2026-09-09,Zona Comercial Camiri,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,E° S° CORDILLERA,7000.0
2026-09-09,Zona Comercial Camiri,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,ESTACION DE SERVICIO PIRAI S.R.L. SUCURSAL 2,7000.0
2026-09-09,Zona Comercial Camiri,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,ESTACION DE SERVICIO CEDEÑO,7000.0
2026-09-09,Zona Comercial Camiri,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,ESTACION DE SERVICIO CAMIRIGAS SRL.,7000.0
2026-09-09,Zona Comercial Camiri,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,EE SS CORDILLERA LA WILLIAMS,17000.0
2026-09-08,Zona Comercial Camiri,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,LUISA ELENA KAUNE ARTEAGA VDA DE CATALANO,4500.0
2026-09-08,Zona Comercial Camiri,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,CORDIGAS,6900.0
2026-09-08,Zona Comercial Camiri,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,E° S° CORDILLERA,6000.0
2026-09-08,Zona Comercial Camiri,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACION DE SERVICIO PIRAI S.R.L. SUCURSAL 2,6000.0
2026-09-08,Zona Comercial Camiri,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACION DE SERVICIO CEDEÑO,6000.0
2026-09-08,Zona Comercial Camiri,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACION DE SERVICIO CAMIRIGAS SRL.,6000.0
2026-09-08,Zona Comercial Camiri,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,EE SS CORDILLERA LA WILLIAMS,6000.0
2026-09-08,Zona Comercial Camiri,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,E° S° CORDILLERA,7000.0
2026-09-08,Zona Comercial Camiri,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,ESTACION DE SERVICIO PIRAI S.R.L. SUCURSAL 2,7000.0
2026-09-08,Zona Comercial Camiri,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,ESTACION DE SERVICIO CEDEÑO,7000.0
2026-09-08,Zona Comercial Camiri,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,ESTACION DE SERVICIO CAMIRIGAS SRL.,7000.0
2026-09-08,Zona Comercial Camiri,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,EE SS CORDILLERA LA WILLIAMS,7000.0
2026-09-07,Zona Comercial Camiri,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,LUISA ELENA KAUNE ARTEAGA VDA DE CATALANO,9000.0
2026-09-07,Zona Comercial Camiri,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,CORDIGAS,6900.0
2026-09-07,Zona Comercial Camiri,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,E° S° CORDILLERA,6000.0
2026-09-07,Zona Comercial Camiri,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACION DE SERVICIO PIRAI S.R.L. SUCURSAL 2,6000.0
2026-09-07,Zona Comercial Camiri,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACION DE SERVICIO CEDEÑO,6000.0
2026-09-07,Zona Comercial Camiri,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACION DE SERVICIO CAMIRIGAS SRL.,6000.0
2026-09-07,Zona Comercial Camiri,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,EE SS CORDILLERA LA WILLIAMS,6000.0
2026-09-07,Zona Comercial Camiri,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,E° S° CORDILLERA,7000.0
2026-09-07,Zona Comercial Camiri,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,ESTACION DE SERVICIO PIRAI S.R.L. SUCURSAL 2,7000.0
2026-09-07,Zona Comercial Camiri,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,ESTACION DE SERVICIO CEDEÑO,7000.0
2026-09-07,Zona Comercial Camiri,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,ESTACION DE SERVICIO CAMIRIGAS SRL.,7000.0
2026-09-07,Zona Comercial Camiri,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,EE SS CORDILLERA LA WILLIAMS,7000.0
2026-09-05,Zona Comercial Camiri,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,CORDIGAS,6900.0
2026-09-04,Zona Comercial Camiri,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,LUISA ELENA KAUNE ARTEAGA VDA DE CATALANO,9000.0
2026-09-04,Zona Comercial Camiri,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,CORDIGAS,6900.0
2026-09-04,Zona Comercial Camiri,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,E° S° CORDILLERA,15000.0
2026-09-04,Zona Comercial Camiri,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACION DE SERVICIO PIRAI S.R.L. SUCURSAL 2,15000.0
2026-09-04,Zona Comercial Camiri,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACION DE SERVICIO CEDEÑO,15000.0
2026-09-04,Zona Comercial Camiri,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACION DE SERVICIO CAMIRIGAS SRL.,15000.0
2026-09-04,Zona Comercial Camiri,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,EE SS CORDILLERA LA WILLIAMS,15000.0
2026-09-04,Zona Comercial Camiri,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,ESTACION DE SERVICIO PIRAI S.R.L. SUCURSAL 2,15000.0
2026-09-04,Zona Comercial Camiri,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,ESTACION DE SERVICIO CEDEÑO,15000.0
2026-09-04,Zona Comercial Camiri,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,ESTACION DE SERVICIO CAMIRIGAS SRL.,15000.0
2026-09-04,Zona Comercial Camiri,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,EE SS CORDILLERA LA WILLIAMS,25000.0
2026-09-03,Zona Comercial Camiri,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,LUISA ELENA KAUNE ARTEAGA VDA DE CATALANO,7500.0
2026-09-03,Zona Comercial Camiri,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,CORDIGAS,6900.0
2026-09-03,Zona Comercial Camiri,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,E° S° CORDILLERA,6000.0
2026-09-03,Zona Comercial Camiri,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACION DE SERVICIO PIRAI S.R.L. SUCURSAL 2,6000.0
2026-09-03,Zona Comercial Camiri,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACION DE SERVICIO CEDEÑO,6000.0
2026-09-03,Zona Comercial Camiri,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACION DE SERVICIO CAMIRIGAS SRL.,6000.0
2026-09-03,Zona Comercial Camiri,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,EE SS CORDILLERA LA WILLIAMS,6000.0
2026-09-03,Zona Comercial Camiri,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,E° S° CORDILLERA,22000.0
2026-09-03,Zona Comercial Camiri,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,ESTACION DE SERVICIO PIRAI S.R.L. SUCURSAL 2,7000.0
2026-09-03,Zona Comercial Camiri,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,ESTACION DE SERVICIO CEDEÑO,7000.0
2026-09-03,Zona Comercial Camiri,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,ESTACION DE SERVICIO CAMIRIGAS SRL.,7000.0
2026-09-03,Zona Comercial Camiri,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,EE SS CORDILLERA LA WILLIAMS,7000.0
2026-09-03,Zona Comercial Camiri,DIESEL OIL NACIONAL CF,Diesel Oil Nacional,DIESEL_NACIONAL,CONSTRUCTORA BOLIVIANA S.R.L. CONSTRUBOL S.R.L.,5000.0
2026-09-02,Zona Comercial Camiri,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,LUISA ELENA KAUNE ARTEAGA VDA DE CATALANO,10500.0
2026-09-02,Zona Comercial Camiri,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,CORDIGAS,6900.0
2026-09-02,Zona Comercial Camiri,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,E° S° CORDILLERA,7000.0
2026-09-02,Zona Comercial Camiri,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACION DE SERVICIO PIRAI S.R.L. SUCURSAL 2,7000.0
2026-09-02,Zona Comercial Camiri,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACION DE SERVICIO CEDEÑO,7000.0
2026-09-02,Zona Comercial Camiri,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACION DE SERVICIO CAMIRIGAS SRL.,7000.0
2026-09-02,Zona Comercial Camiri,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,EE SS CORDILLERA LA WILLIAMS,7000.0
2026-09-02,Zona Comercial Camiri,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,E° S° CORDILLERA,6000.0
2026-09-02,Zona Comercial Camiri,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,ESTACION DE SERVICIO PIRAI S.R.L. SUCURSAL 2,6000.0
2026-09-02,Zona Comercial Camiri,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,ESTACION DE SERVICIO CEDEÑO,6000.0
2026-09-02,Zona Comercial Camiri,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,ESTACION DE SERVICIO CAMIRIGAS SRL.,6000.0
2026-09-02,Zona Comercial Camiri,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,EE SS CORDILLERA LA WILLIAMS,19000.0
2026-09-02,Zona Comercial Camiri,DIESEL OIL NACIONAL CF,Diesel Oil Nacional,DIESEL_NACIONAL,CONSTRUCTORA BOLIVIANA S.R.L. CONSTRUBOL S.R.L.,5000.0
2026-09-01,Zona Comercial Camiri,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,LUISA ELENA KAUNE ARTEAGA VDA DE CATALANO,4500.0
2026-09-01,Zona Comercial Camiri,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,CORDIGAS,6900.0
2026-09-01,Zona Comercial Camiri,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,E° S° CORDILLERA,7000.0
2026-09-01,Zona Comercial Camiri,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACION DE SERVICIO PIRAI S.R.L. SUCURSAL 2,7000.0
2026-09-01,Zona Comercial Camiri,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACION DE SERVICIO CEDEÑO,7000.0
2026-09-01,Zona Comercial Camiri,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACION DE SERVICIO CAMIRIGAS SRL.,7000.0
2026-09-01,Zona Comercial Camiri,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,EE SS CORDILLERA LA WILLIAMS,7000.0
2026-09-01,Zona Comercial Camiri,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,E° S° CORDILLERA,6000.0
2026-09-01,Zona Comercial Camiri,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,ESTACION DE SERVICIO PIRAI S.R.L. SUCURSAL 2,6000.0
2026-09-01,Zona Comercial Camiri,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,ESTACION DE SERVICIO CEDEÑO,6000.0
2026-09-01,Zona Comercial Camiri,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,ESTACION DE SERVICIO CAMIRIGAS SRL.,6000.0
2026-09-01,Zona Comercial Camiri,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,EE SS CORDILLERA LA WILLIAMS,6000.0
2026-09-15,Zona Comercial Camiri,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,LUISA ELENA KAUNE ARTEAGA VDA DE CATALANO,4500.0
2026-09-15,Zona Comercial Camiri,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,CORDIGAS,6900.0
2026-09-15,Zona Comercial Camiri,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,E° S° CORDILLERA,6000.0
2026-09-15,Zona Comercial Camiri,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACION DE SERVICIO PIRAI S.R.L. SUCURSAL 2,6000.0
2026-09-15,Zona Comercial Camiri,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACION DE SERVICIO CEDEÑO,6000.0
2026-09-15,Zona Comercial Camiri,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACION DE SERVICIO CAMIRIGAS SRL.,6000.0
2026-09-15,Zona Comercial Camiri,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,EE SS CORDILLERA LA WILLIAMS,6000.0
2026-09-15,Zona Comercial Camiri,GASOLINA ESPECIAL CF,Gasolina Especial,GASOLINA_ESPECIAL,CONSTRUCTORA BOLIVIANA S.R.L. CONSTRUBOL S.R.L.,5000.0
2026-09-15,Zona Comercial Camiri,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,E° S° CORDILLERA,7000.0
2026-09-15,Zona Comercial Camiri,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,ESTACION DE SERVICIO PIRAI S.R.L. SUCURSAL 2,7000.0
2026-09-15,Zona Comercial Camiri,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,ESTACION DE SERVICIO CEDEÑO,7000.0
2026-09-15,Zona Comercial Camiri,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,ESTACION DE SERVICIO CAMIRIGAS SRL.,7000.0
2026-09-15,Zona Comercial Camiri,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,EE SS CORDILLERA LA WILLIAMS,7000.0
